En Proceso,Empresas,,,,,,,,,,,,,,,,,,,,,,,
,OPCIONES (LISTA DE VALORES),TIPO DE DATO,NOMBRE INTERNO,ETIQUETA HUBSPOT,,TANGO,NOMBRE INTERNO ,COMENTARIOS ID,COMENTARIOS CLIENTE,,,,,,,,,,,,,,,
,,,,,→,,,,,,,,,,,,,,,,,,,
,,,,,←,,,,,,,,,,,,,,,,,,,
,,,,,←→,,,,,,,,,,,,,,,,,,,
,,,,,x,,,,,,,,,,,,,,,,,,<,
,Campo obligatorio - Necesario para saber de que empresa estamos hablando a la hora de integrar,String,codigo_tango,codigo_tango,,Cód. cliente,COD_GVA14,CÓDIGO DEL CLIENTE (String). Suele ser correlativo. En la integración podés mandar el ID de HubSpot o generarlo.,,,,,,,,,,,,,,,,
,,texto de una línea,name,Nombre de la empresa,,Nombre fantasía,NOM_COM,Nombre Comercial (Suele ser igual a la Razón Social si no tienen).,,,,,,,,,,,,,,,,
,,texto de una línea,razon_social,Razón Social,,Razón social,RAZON_SOCI,Nombre Legal / Razón Social (Obligatorio).,,,,,,,,,,,,,,,,<
,,número,cuit,CUIT,,Nro. de documento,CUIT,CUIT del cliente. IMPORTANTE: Tango lo exige estrictamente CON GUIONES.,,,,,,,,,,,,,,,,
,,desplegable,tipo_de_documento,Tipo de documento,,Tipo de documento,ID_TIPO_DOCUMENTO_GV,TIPO DE DOCUMENTO (Número). Obligatorio. 1 = C.U.I.T.,,,,,,,,,,,,,,,,
,,texto de una línea,localidad,Localidad,,Localidad,LOCALIDAD,Ciudad.,,,,,,,,,,,,,,,,
,,texto de una línea,domicilio_del_consultorio,Domicilio consultorio,,Dirección fiscal,DOMICILIO,Dirección Legal / Fiscal.,,,,,,,,,,,,,,,,
,,,correo_electronico,Correo electronico,,Correo electrónico,E_MAIL,Email de contacto o facturación.,,,,,,,,,,,,,,,,
,,Lista desplegable,condicion_iva,Condición IVA,,Categoría de IVA,ID_CATEGORIA_IVA,"CONDICIÓN FRENTE AL IVA (Número). 1 (Resp. Inscripto), 4 (Exento), 5 (Cons. Final), 6 (Resp. Monotributo).",,,,,,,,,,,,,,,,
,,texto de una línea,domicilio_fiscal,Dirección fiscal,,Teléfono,TELEFONO_1,Teléfono principal de contacto.,,,,,,,,,,,,,,,,
,,texto de una línea,domicilio_de_envio,Dirección de entrega,,Dirección de entrega ,DIR_COM,Dirección Comercial / De Entrega.,,,,,,,,,,,,,,,,
,,texto de una línea,country,País/ región,,País,GVA133_NOM_PAIS,"PAÍS. Siempre mandar ""ARGENTINA"".",,,,,,,,,,,,,,,,
,,Lista desplegable,tipo_de_cliente,Tipo de cliente,x,,,,,,,,,,,,,,,,,,,
,,Lista desplegable,subtipo_de_cliente,sub-tipo de cliente (está dentro de tipo de cliente),x,,,,,,,,,,,,,,,,,,,
,,número,zip,CP,,Código postal,C_POSTAL,Código postal.,,,,,,,,,,,,,,,,
,,casilla de verificación,cotizan_en_licitaciones,Cotizan en licitaciones,x,,,,,,,,,,,,,,,,,,,
,,casilla multiple verificación,es_distribuidor,Es distribuidor,x,,,,,,,,,,,,,,,,,,,
,,texto de una línea,facebook_company_page,Página corporativa de Facebook,x,,,,,,,,,,,,,,,,,,,
,,texto de una línea,linkedin_company_page,Pagina corporativo de Linkedin,x,,,,,,,,,,,,,,,,,,,
,,,,Línea de equipos consultados,x,,,,,,,,,,,,,,,,,,,
,,URL,url_de_perfil_de_instagram,URL de perfil de Instagram,x,,,,,,,,,,,,,,,,,,,
,listado aqui,casillas multiple verificación,especialidades,Especialidades,x,,,,,,,,,,,,,,,,,,,
,,,,"AGREGAR MAILS 2, 3",,,,,,,,,,,,,,,,,,,,
,,,,,,Zona,ID_GVA05,"ZONA (Número). Ej: 1 (CABA), 2 (GBA), 4 (NOA), 5 (NEA), 6 (SUR), 7 (CUYO).",,,,,,,,,,,,,,,,
,,,,,,Lista,ID_GVA10,"LISTA DE PRECIOS (Número). 1 (SIN IVA EN $), **3** (CON IVA EN$).",,,,,,,,,,,,,,,,
,,,,,,Condición de venta,ID_GVA01,"CONDICIÓN DE PAGO (Número). Ej: 1 (CONTADO), 5 (MERCADOPAGO), 7 (30 DIAS RECEPCIÓN), etc.",,,,,,,,,,,,,,,,
